"DAX" "Dow Jones" "Nikkei" "VIX"
6037.609863 10618.19043 10798.320312 1888.675427
6040.5 10663.990234 10798.320312 1854.126428
5943 10627.259766 10879.139648 1912.347781
5963.140137 10680.769531 10735.030273 1885.476378
5988.879883 10710.549805 10907.679688 1839.411168
5875.970215 10609.650391 10982.099609 1888.035617
5918.549805 10609.650391 10855.080078 1888.035617
5976.47998 10725.429688 10764.900391 1779.910196
5851.529785 10603.150391 10737.519531 1779.270386
5746.970215 10389.879883 10868.410156 1875.879474
5695.319824 10172.980469 10590.549805 2040.306818
5631.370117 10196.860352 10512.69043 2021.113012
5668.930176 10194.290039 10325.280273 2029.430295
5643.200195 10236.160156 10252.080078 1983.365086
5540.330078 10120.459961 10414.290039 1984.644705
5608.790039 10067.330078 10198.040039 2024.311939
5654.47998 10185.530273 10205.019531 1929.62228
5709.660156 10296.849609 10371.089844 1856.685667
5672.089844 10270.549805 10404.330078 1863.723332
5533.240234 10002.179688 10355.980469 2070.37727
5434.339844 10012.230469 10057.089844 2088.931389
5484.850098 9908.389648 9951.820312 2131.157862
5498.259766 10058.639648 9932.900391 2066.538411
5536.370117 10038.379883 9963.990234 2053.102771
5503.930176 10144.19043 9963.990234 2008.956869
5500.390137 10099.139648 10092.19043 2010.876298
5511.100098 10099.139648 10013.299805 2010.876298
5592.120117 10268.80957 10034.25 1907.869234
5648.339844 10309.240234 10306.830078 1851.567311
5680.410156 10392.900391 10335.69043 1781.189816
5722.049805 10402.349609 10123.580078 1730.645937
5688.439941 10383.379883 10400.469727 1715.930677
5604.069824 10282.410156 10352.099609 1745.361319
5615.509766 10374.160156 10198.830078 1714.651057
5532.330078 10321.030273 10101.959961 1710.81232
5598.459961 10325.259766 10126.030273 1682.02161
5713.509766 10403.790039 10172.05957 1640.434825
5776.560059 10405.980469 10221.839844 1621.880828
5817.879883 10396.759766 10253.139648 1615.482852
5795.319824 10444.139648 10145.719727 1600.127782
5877.359863 10566.200195 10368.959961 1536.148263
